{ ['x'] = 542.50549316406, ['y'] = -1943.7967529297, ['z'] = 24.985092163086 }, TRAITEMENT CHAMPAGNE
{ ['x'] = -423.73861694336, ['y'] = -33.637935638428, ['z'] = 46.223743438721 }, VENTE BIERE
{ ['x'] = -1352.4846191406, ['y'] = 131.60606384277, ['z'] = 56.243801116943 }, VENTE CHAMPAGNE
{ ['x'] = -1371.55859375, ['y'] = 87.0673828125, ['z'] = 54.490745544434 },
{ ['x'] = 982.32843017578, ['y'] = -103.6333770752, ['z'] = 74.848731994629 },
{ ['x'] = 977.11346435547, ['y'] = -103.98986053467, ['z'] = 74.845184326172 },
{ ['x'] = -545.33673095703, ['y'] = -203.71446228027, ['z'] = 38.215148925781 }, PALAIS DE JUSTICE
{ ['x'] = 435.96447753906, ['y'] = -985.85437011719, ['z'] = 30.689607620239 },
{ ['x'] = 411.78707885742, ['y'] = -982.10870361328, ['z'] = 29.418384552002 }, PANNEAU ROBICHET
{ ['x'] = 411.72576904297, ['y'] = -982.45874023438, ['z'] = 29.417839050293 },
{ ['x'] = 409.2580871582, ['y'] = -977.21813964844, ['z'] = 29.419080734253 },
{ ['x'] = 469.40707397461, ['y'] = -986.93963623047, ['z'] = 30.689598083496 },
{ ['x'] = 95.442794799805, ['y'] = -1292.2944335938, ['z'] = 30.065399169922 },
{ ['x'] = -1908.0891113281, ['y'] = -570.71740722656, ['z'] = 22.970174789429 },
{ ['x'] = 840.44610595703, ['y'] = -3236.2768554688, ['z'] = -98.699180603027 },
{ ['x'] = 232.02047729492, ['y'] = -1388.2384033203, ['z'] = 30.463388442993 },
{ ['x'] = 1122.8090820313, ['y'] = -1522.0927734375, ['z'] = 34.837734222412 },
{ ['x'] = -1907.982421875, ['y'] = -570.79858398438, ['z'] = 22.970167160034 },
{ ['x'] = -758.24475097656, ['y'] = 619.12255859375, ['z'] = 144.14074707031 },
{ ['x'] = 195.93809509277, ['y'] = -406.34527587891, ['z'] = 45.256271362305 }, ENTREE BUREAU MAIRE
{ ['x'] = 185.71458435059, ['y'] = -437.23440551758, ['z'] = 41.65629196167 }, PARKING BUREAU MAIRE
{ ['x'] = 167.8727722168, ['y'] = -441.56716918945, ['z'] = 41.062889099121 }, SPAWN VEHICULES
{ ['x'] = 116.10430908203, ['y'] = -639.46014404297, ['z'] = 206.04664611816 },
{ ['x'] = 146.86956787109, ['y'] = -620.08465576172, ['z'] = 206.04689025879 },
{ ['x'] = 200.57611083984, ['y'] = -453.14309692383, ['z'] = 42.984886169434 },
{ ['x'] = -857.31848144531, ['y'] = -1282.3714599609, ['z'] = 6.2001619338989 }, ENTREE MERLO
{ ['x'] = -2587.9362792969, ['y'] = 1910.9439697266, ['z'] = 167.49891662598 }, ENTREE MAISON MAIRE
{ ['x'] = -2603.7216796875, ['y'] = 1915.9541015625, ['z'] = 163.45623779297 }, TERRASSE MAISON MAIRE
{ ['x'] = -125.79283905029, ['y'] = -635.32232666016, ['z'] = 168.82055664063 },
{ ['x'] = -168.35110473633, ['y'] = 478.32409667969, ['z'] = 133.84382629395 },
{ ['x'] = -1894.6697998047, ['y'] = 2024.1374511719, ['z'] = 140.74749755859 },
{ ['x'] = 2135.578125, ['y'] = 4782.9135742188, ['z'] = 40.970348358154 },
{ ['x'] = 452.98638916016, ['y'] = -973.20837402344, ['z'] = 30.689601898193 },
{ ['x'] = -875.19732666016, ['y'] = 183.54217529297, ['z'] = 69.026702880859 }, WEED PLANT BASE
{ ['x'] = -289.26150512695, ['y'] = -984.08020019531, ['z'] = 24.137044906616 }, WEED TRANSFO
{ ['x'] = -1146.9346923828, ['y'] = -1562.0366210938, ['z'] = 4.4049291610718 }, REVENTE WEED
{ ['x'] = 1327.65234375, ['y'] = -1654.2707519531, ['z'] = 52.27645111084 }, BLANCHIMENT
{ ['x'] = 930.18884277344, ['y'] = 45.714645385742, ['z'] = 81.090049743652 }, MACHINE A SOUS BLANCHIMENT
{ ['x'] = -680.21270751953, ['y'] = 589.79235839844, ['z'] = 145.39308166504 },
{ ['x'] = -151.98124694824, ['y'] = 910.427734375, ['z'] = 235.65563964844 },
{ ['x'] = -860.84375, ['y'] = 691.30065917969, ['z'] = 152.85285949707 },
{ ['x'] = -859.27661132813, ['y'] = 670.59906005859, ['z'] = 152.45335388184 },
{ ['x'] = -162.04821777344, ['y'] = 890.93682861328, ['z'] = 237.13972473145 },
{ ['x'] = -1038.0665283203, ['y'] = 221.67375183105, ['z'] = 64.375755310059 },
{ ['x'] = -18.329710006714, ['y'] = -581.84759521484, ['z'] = 90.114837646484 },
{ ['x'] = -26.797693252563, ['y'] = -577.88665771484, ['z'] = 83.907577514648 },
{ ['x'] = -1026.9827880859, ['y'] = 214.72451782227, ['z'] = 64.564453125 },
{ ['x'] = 116.27017974854, ['y'] = 559.94573974609, ['z'] = 184.29692077637 },
{ ['x'] = 120.59204864502, ['y'] = 539.49731445313, ['z'] = 180.50050354004 },
{ ['x'] = -2603.6755371094, ['y'] = 1916.1953125, ['z'] = 163.4561920166 },
{ ['x'] = -783.12677001953, ['y'] = 323.58444213867, ['z'] = 211.99717712402 },
{ ['x'] = -786.3896484375, ['y'] = 329.02752685547, ['z'] = 210.79661560059 },
{ ['x'] = -777.49255371094, ['y'] = 323.88018798828, ['z'] = 211.99745178223 },
{ ['x'] = -204.08587646484, ['y'] = -1327.3107910156, ['z'] = 30.890394210815 },
{ ['x'] = 997.3955078125, ['y'] = -3158.1381835938, ['z'] = -38.907154083252 },
